SIGUN_CD,SIGUN_NM,STD_YM,CARD_PUBLCT_CNT,CARD_CHRGNG_AMT,CARD_USE_AMT,MOBILE_GIFTCERTF_USER_CNT,MOBILE_CHRGNG_AMT,MOBILE_USE_AMT,BRNHSTRM_GIFTCERTF_SALE_AMT,BRNHSTRM_GIFTCERTF_RETRVL_AMT
41460,용인시,2021-02,27846.0,20271369.0,15622752.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2021-02,0.0,5392820.0,4652379.0,17496.0,24419215.0,18140554.0,10673150.0,8981615.0
41190,부천시,2021-02,24263.0,15601117.0,12756248.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2021-02,23305.0,18016255.0,20192514.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2021-02,21353.0,21556181.0,17026020.0,0.0,0.0,0.0,2544045.0,2334875.0
41360,남양주시,2021-02,17003.0,11003701.0,8977763.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2021-02,15539.0,7897018.0,6253832.0,0.0,0.0,0.0,2075656.0,1982520.0
41220,평택시,2021-02,17949.0,7538562.0,6025676.0,0.0,0.0,0.0,4780455.0,4639920.0
41390,시흥시,2021-02,0.0,0.0,0.0,5850.0,17151386.0,15098404.0,2766394.0,2540388.0
41480,파주시,2021-02,12210.0,7111915.0,6135793.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2021-02,16159.0,8238511.0,5773807.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2021-02,0.0,0.0,0.0,10706.0,20056607.0,19327543.0,0.0,0.0
41610,광주시,2021-02,9412.0,9002159.0,7854216.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2021-02,8338.0,6043489.0,5358256.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2021-02,8321.0,8468384.0,7689732.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2021-02,8152.0,14783500.0,10857874.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2021-02,8770.0,7740070.0,6353929.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2021-02,6544.0,3394909.0,2614832.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2021-02,7372.0,3633652.0,3211251.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2021-02,5096.0,4062873.0,3846032.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2021-02,6905.0,5682171.0,4467279.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2021-02,8257.0,1493885.0,945795.0,0.0,0.0,0.0,242645.0,278466.0
41430,의왕시,2021-02,5412.0,2491445.0,1891174.0,0.0,0.0,0.0,320210.0,302920.0
41830,양평군,2021-02,3704.0,4462006.0,3998809.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2021-02,3502.0,1903007.0,2020585.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2021-02,4916.0,1015736.0,1480880.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2021-02,1809.0,912711.0,805968.0,0.0,0.0,0.0,143740.0,138405.0
41290,과천시,2021-02,1975.0,2315752.0,1923395.0,0.0,0.0,0.0,689980.0,724710.0
41800,연천군,2021-02,974.0,597385.0,608880.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2021-03,17865.0,22486684.0,16312959.0,0.0,0.0,0.0,0.0,0.0
